pyname,lon,lat
g315,93.37428099999997,37.781612999999965
g315,93.37490200000002,37.781064000000015
g315,93.37608199999995,37.77996500000003
g315,93.37645200000001,37.779664999999994
g315,93.37684199999995,37.779335000000046
g315,93.378092,37.778186000000005
g315,93.37921300000002,37.77719699999998
g315,93.37981300000001,37.776678000000025
g315,93.38037299999999,37.776228
g315,93.38091299999999,37.775799000000035
g315,93.38128299999997,37.77551899999996
g315,93.38184300000003,37.775059000000006
g315,93.38245299999996,37.774519999999995
g315,93.38293399999996,37.77411
g315,93.38337400000005,37.77379099999999
g315,93.38382399999998,37.77345100000001
g315,93.38450400000002,37.77289100000004
g315,93.38510400000001,37.77239199999996
g315,93.38575399999996,37.771852000000045
g315,93.38613399999997,37.77157299999996
g315,93.38634400000002,37.77141299999996
g315,93.386685,37.77113299999998
g315,93.38784499999997,37.77015399999998
g315,93.38814500000001,37.76987399999999
g315,93.389035,37.76908499999999
g315,93.38967500000004,37.768495000000016
g315,93.39030500000003,37.76802600000003
g315,93.390836,37.767576000000005
g315,93.39141600000002,37.76708699999996
g315,93.39196599999997,37.766676999999966
g315,93.39244599999998,37.76631800000001
g315,93.39296700000001,37.76591799999996
g315,93.39336699999998,37.765628000000035
g315,93.393817,37.76532899999999
g315,93.39397799999999,37.765239
g315,93.39455800000002,37.76489900000003
g315,93.39499800000002,37.76462999999997
g315,93.39528900000002,37.76446000000003
g315,93.39558899999997,37.76430000000002
g315,93.396199,37.763970999999984
g315,93.39675000000003,37.763641000000035
g315,93.39704000000003,37.763470999999996
g315,93.39730999999999,37.763330999999965
g315,93.39786000000002,37.76304200000003
g315,93.39851099999998,37.76271199999999
g315,93.39894100000004,37.762463
g315,93.39956199999999,37.76213299999996
g315,93.40013199999999,37.761804000000005
g315,93.40073199999998,37.761413999999974
g315,93.40147300000001,37.76102500000003
g315,93.401693,37.760904999999966
g315,93.40228399999997,37.76059499999998
g315,93.40292399999998,37.76024599999997
g315,93.40365499999999,37.759865999999974
g315,93.404325,37.75951699999996
g315,93.40504599999997,37.759146999999984
g315,93.40570600000004,37.75878800000004
g315,93.40647699999997,37.75835799999999
g315,93.40725700000003,37.75793899999996
g315,93.40837799999997,37.75740000000003
g315,93.40909900000003,37.75701000000001
g315,93.41049000000001,37.756281
g315,93.41246100000002,37.755272999999995
g315,93.41456300000003,37.75414400000002
g315,93.41570300000004,37.753534999999985
g315,93.41651399999999,37.75308599999997
g315,93.41841499999998,37.752057
g315,93.42011700000003,37.751159000000044
g315,93.42169800000002,37.75033000000002
g315,93.422899,37.74968099999997
g315,93.25347699999999,38.004611999999966
g315,93.25854300000002,37.999630000000046
g315,93.42384899999999,37.74914099999996
g315,93.426421,37.74778300000004
g315,93.42703200000001,37.747424
g315,93.42967400000003,37.746066
g315,93.44060199999997,37.740204000000006
g315,93.45361099999995,37.73321400000003
g315,93.46421899999996,37.72749199999999
g315,93.47805899999996,37.72004199999997
g315,93.48801700000001,37.714659999999995
g315,93.49844399999998,37.70896800000004
g315,93.34654399999997,37.90776399999996
g315,93.346494,37.90816400000001
g315,93.34643400000002,37.90833299999997
g315,93.34637400000003,37.90862299999998
g315,93.346303,37.909143000000014
g315,93.34626399999999,37.90927300000003
g315,93.34617300000001,37.90950299999996
g315,93.34608300000002,37.90972299999996
g315,93.345983,37.90993300000001
g315,93.34590300000005,37.91009300000002
g315,93.34577300000004,37.91032300000004
g315,93.34568299999997,37.91049299999999
g315,93.34562299999997,37.910593
g315,93.34553299999999,37.91071299999998
g315,93.34534299999999,37.91093299999997
g315,93.34512299999999,37.91120300000002
g315,93.34488300000002,37.91146300000004
g315,93.34467399999997,37.911703
g315,93.34453400000001,37.91186300000001
g315,93.34442399999998,37.91197400000004
g315,93.344244,37.912143999999984
g315,93.34410399999996,37.912263999999965
